estimated_price,last_date,last_close,estimated_date,ticker
193.5,2025-02-05,191.75,2025-02-06,ABBV
194.5,2025-02-06,192.9700012207,2025-02-07,ABBV
192.5,2025-02-07,190.6000061035,2025-02-10,ABBV
191.5,2025-02-10,190.3399963379,2025-02-11,ABBV
193.5,2025-02-11,191.8300018311,2025-02-12,ABBV
194.5,2025-02-12,193.0,2025-02-13,ABBV
194.5,2025-02-13,193.4499969482,2025-02-14,ABBV
135.66,2025-02-05,132.0599975586,2025-02-06,ABT
129.5,2025-02-06,128.2200012207,2025-02-07,ABT
130.5,2025-02-07,129.0700073242,2025-02-10,ABT
132.5,2025-02-10,131.3099975586,2025-02-11,ABT
132.5,2025-02-11,131.4400024414,2025-02-12,ABT
131.5,2025-02-12,130.4900054932,2025-02-13,ABT
132.5,2025-02-13,131.7899932861,2025-02-14,ABT
314.47,2025-02-05,311.3599853516,2025-02-06,ADSK
310.5,2025-02-06,307.700012207,2025-02-07,ADSK
310.5,2025-02-05,308.1499938965,2025-02-06,ADP
311.5,2025-02-06,308.9700012207,2025-02-07,ADP
309.5,2025-02-07,305.9700012207,2025-02-10,ADP
309.5,2025-02-10,306.9299926758,2025-02-11,ADP
307.5,2025-02-11,305.7799987793,2025-02-12,ADP
307.5,2025-02-12,306.6499938965,2025-02-13,ADP
312.5,2025-02-13,310.2200012207,2025-02-14,ADP
99.8,2025-02-05,99.3899993896,2025-02-06,AEP
100.85,2025-02-06,100.1699981689,2025-02-07,AEP
129.0,2025-02-05,129.6000061035,2025-02-06,ABNB
133.5,2025-02-06,132.5700073242,2025-02-07,ABNB
136.73,2025-02-07,134.9799957275,2025-02-10,ABNB
136.0,2025-02-10,135.2400054932,2025-02-11,ABNB
134.2,2025-02-11,134.5200042725,2025-02-12,ABNB
142.55,2025-02-12,140.5200042725,2025-02-13,ABNB
142.2,2025-02-13,141.0399932861,2025-02-14,ABNB
439.5,2025-02-05,437.6300048828,2025-02-06,ADBE
433.63,2025-02-06,435.3999938965,2025-02-07,ADBE
431.0,2025-02-07,433.0700073242,2025-02-10,ADBE
456.0,2025-02-10,451.1000061035,2025-02-11,ADBE
468.0,2025-02-11,458.8200073242,2025-02-12,ADBE
468.5,2025-02-12,462.7600097656,2025-02-13,ADBE
465.5,2025-02-13,459.2200012207,2025-02-14,ADBE
194.5,2025-02-05,193.0099945068,2025-02-06,ALL
193.5,2025-02-06,191.8800048828,2025-02-07,ALL
402.16,2025-02-05,398.25,2025-02-06,ACN
392.5,2025-02-06,387.3399963379,2025-02-07,ACN
390.5,2025-02-07,385.9800109863,2025-02-10,ACN
390.5,2025-02-10,386.8900146484,2025-02-11,ACN
393.5,2025-02-11,390.0100097656,2025-02-12,ACN
392.5,2025-02-12,388.8299865723,2025-02-13,ACN
392.5,2025-02-13,389.5299987793,2025-02-14,ACN
320.0,2025-02-05,316.299987793,2025-02-06,AJG
324.0,2025-02-06,319.9899902344,2025-02-07,AJG
234.0,2025-02-05,232.4700012207,2025-02-06,AAPL
234.5,2025-02-06,233.2200012207,2025-02-07,AAPL
226.25,2025-02-07,227.6300048828,2025-02-10,AAPL
228.5,2025-02-10,227.6499938965,2025-02-11,AAPL
234.5,2025-02-11,232.6199951172,2025-02-12,AAPL
238.5,2025-02-12,236.8699951172,2025-02-13,AAPL
243.61,2025-02-13,241.5299987793,2025-02-14,AAPL
107.61,2025-02-05,107.2900009155,2025-02-06,AFL
102.43,2025-02-06,103.0800018311,2025-02-07,AFL
211.5,2025-02-05,209.8000030518,2025-02-06,ADI
206.5,2025-02-06,207.8300018311,2025-02-07,ADI
203.95,2025-02-07,205.2100067139,2025-02-10,ADI
203.0,2025-02-10,204.8600006104,2025-02-11,ADI
202.0,2025-02-11,203.4600067139,2025-02-12,ADI
203.5,2025-02-12,205.1300048828,2025-02-13,ADI
211.5,2025-02-13,209.3399963379,2025-02-14,ADI
188.5,2025-02-05,187.4600067139,2025-02-06,AMT
191.24,2025-02-06,189.75,2025-02-07,AMT
385.5,2025-02-05,382.3900146484,2025-02-06,AON
389.5,2025-02-06,384.7200012207,2025-02-07,AON
540.4,2025-02-05,538.2899780273,2025-02-06,AMP
545.0,2025-02-06,541.6500244141,2025-02-07,AMP
334.5,2025-02-05,333.1499938965,2025-02-06,APD
326.5,2025-02-06,328.1300048828,2025-02-07,APD
238.5,2025-02-05,236.1699981689,2025-02-06,AMZN
240.5,2025-02-06,238.8300018311,2025-02-07,AMZN
232.5,2025-02-07,229.1499938965,2025-02-10,AMZN
235.5,2025-02-10,233.1399993896,2025-02-11,AMZN
234.5,2025-02-11,232.7599945068,2025-02-12,AMZN
