estimated_price,last_date,last_close,estimated_date,ticker
7.15,2024-04-02,7.1999998093,2024-04-03,SOFI
7.45,2024-04-03,7.5399999619,2024-04-04,SOFI
7.25,2024-04-04,7.3099999428,2024-04-05,SOFI
7.35,2024-04-05,7.4000000954,2024-04-08,SOFI
7.85,2024-04-08,7.7600002289,2024-04-09,SOFI
7.95,2024-04-09,7.8899998665,2024-04-10,SOFI
7.62,2024-04-10,7.5599999428,2024-04-11,SOFI
7.72,2024-04-11,7.6399998665,2024-04-12,SOFI
7.25,2024-04-12,7.3299999237,2024-04-15,SOFI
7.05,2024-04-15,7.1199998856,2024-04-16,SOFI
7.25,2024-04-16,7.1999998093,2024-04-17,SOFI
7.1,2024-04-17,7.1599998474,2024-04-18,SOFI
7.1,2024-04-18,7.1300001144,2024-04-19,SOFI
7.05,2024-04-19,7.1100001335,2024-04-22,SOFI
7.31,2024-04-22,7.25,2024-04-23,SOFI
7.7,2024-04-23,7.5799999237,2024-04-24,SOFI
7.65,2024-04-24,7.5999999046,2024-04-25,SOFI
7.62,2024-04-25,7.5900001526,2024-04-26,SOFI
7.95,2024-04-26,7.8699998856,2024-04-29,SOFI
6.95,2024-04-29,7.0450000763,2024-04-30,SOFI
6.8,2024-04-30,6.7800002098,2024-05-01,SOFI
7.05,2024-05-01,6.9200000763,2024-05-02,SOFI
7.05,2024-05-02,6.9899997711,2024-05-03,SOFI
6.95,2024-05-03,6.9600000381,2024-05-06,SOFI
7.25,2024-05-06,7.1599998474,2024-05-07,SOFI
7.1,2024-05-07,7.0599999428,2024-05-08,SOFI
7.02,2024-05-08,7.0500001907,2024-05-09,SOFI
7.02,2024-05-09,7.0599999428,2024-05-10,SOFI
6.9,2024-05-10,6.9400000572,2024-05-13,SOFI
7.05,2024-05-13,7.1100001335,2024-05-14,SOFI
7.6,2024-05-14,7.4699997902,2024-05-15,SOFI
7.35,2024-05-15,7.2699999809,2024-05-16,SOFI
7.05,2024-05-16,7.1199998856,2024-05-17,SOFI
7.35,2024-05-17,7.2800002098,2024-05-20,SOFI
7.25,2024-05-20,7.1900000572,2024-05-21,SOFI
7.05,2024-05-21,7.0799999237,2024-05-22,SOFI
6.95,2024-05-22,7.0199999809,2024-05-23,SOFI
6.78,2024-05-23,6.8299999237,2024-05-24,SOFI
6.95,2024-05-24,6.9200000763,2024-05-28,SOFI
6.85,2024-05-28,6.8899998665,2024-05-29,SOFI
6.8,2024-05-29,6.8499999046,2024-05-30,SOFI
6.93,2024-05-30,6.9099998474,2024-05-31,SOFI
6.93,2024-05-31,6.9000000954,2024-06-03,SOFI
6.72,2024-06-03,6.7699999809,2024-06-04,SOFI
6.68,2024-06-04,6.7199997902,2024-06-05,SOFI
6.85,2024-06-05,6.9099998474,2024-06-06,SOFI
7.15,2024-06-06,7.0799999237,2024-06-07,SOFI
7.05,2024-06-07,6.9899997711,2024-06-10,SOFI
7.05,2024-06-10,7.0300002098,2024-06-11,SOFI
6.98,2024-06-11,7.0,2024-06-12,SOFI
7.05,2024-06-12,7.0700001717,2024-06-13,SOFI
6.85,2024-06-13,6.8000001907,2024-06-14,SOFI
6.32,2024-06-14,6.4600000381,2024-06-17,SOFI
6.4,2024-06-17,6.4600000381,2024-06-18,SOFI
6.38,2024-06-18,6.4200000763,2024-06-20,SOFI
6.2,2024-06-20,6.3200001717,2024-06-21,SOFI
6.2,2024-06-21,6.3200001717,2024-06-24,SOFI
6.6,2024-06-24,6.5399999619,2024-06-25,SOFI
6.4,2024-06-25,6.4499998093,2024-06-26,SOFI
6.42,2024-06-26,6.4600000381,2024-06-27,SOFI
6.5,2024-06-27,6.5399999619,2024-06-28,SOFI
6.64,2024-06-28,6.6100001335,2024-07-01,SOFI
6.35,2024-07-01,6.4299998283,2024-07-02,SOFI
6.4,2024-07-02,6.4499998093,2024-07-03,SOFI
6.55,2024-07-03,6.5199999809,2024-07-05,SOFI
6.5,2024-07-05,6.4699997902,2024-07-08,SOFI
6.28,2024-07-08,6.3499999046,2024-07-09,SOFI
6.35,2024-07-09,6.3800001144,2024-07-10,SOFI
6.62,2024-07-10,6.5700001717,2024-07-11,SOFI
6.85,2024-07-11,6.7699999809,2024-07-12,SOFI
7.1,2024-07-12,6.9699997902,2024-07-15,SOFI
7.45,2024-07-15,7.3299999237,2024-07-16,SOFI
7.98,2024-07-16,7.75,2024-07-17,SOFI
7.95,2024-07-17,7.8400001526,2024-07-18,SOFI
7.45,2024-07-18,7.5300002098,2024-07-19,SOFI
